ASN,numIPs,numMineCraftServers,percentage
AS16276,4419584,20084,0.4544
AS31898,3333120,16677,0.5003
AS8100,603328,11012,1.8252
AS24940,2484224,7075,0.2848
AS58791,103424,6794,6.5691
AS7922,70111232,6134,0.0087
AS7979,389888,5443,1.3960
AS3320,36068352,4232,0.0117
AS131965,130304,4213,3.2332
AS7018,113819137,3831,0.0034
AS399244,8192,3338,40.7471
AS199610,68352,2650,3.8770
AS701,43156992,2403,0.0056
AS44486,27904,2220,7.9558
AS51167,458496,2154,0.4698
AS45090,11867392,1952,0.0164
AS8560,757760,1910,0.2521
AS396982,29067520,1900,0.0065
AS36352,735744,1731,0.2353
AS20115,13339136,1675,0.0126
AS197540,153856,1624,1.0555
AS3209,15758848,1594,0.0101
AS4134,111802880,1514,0.0014
AS14061,2963200,1363,0.0460
AS37963,21440512,1288,0.0060
AS56876,43520,1272,2.9228
AS4766,69903360,1224,0.0018
AS22773,23317248,1202,0.0052
AS577,7053056,1192,0.0169
AS7506,263680,1183,0.4486
AS209,26284800,1124,0.0043
AS60068,100352,1104,1.1001
AS5089,24718848,1044,0.0042
AS20860,426752,988,0.2315
AS201971,7168,977,13.6300
AS10796,10282496,957,0.0093
AS3462,16368896,936,0.0057
AS30823,34048,925,2.7168
AS8075,66282240,881,0.0013
AS12322,19374080,878,0.0045
AS3215,20059648,868,0.0043
AS63949,1031424,836,0.0811
AS5650,13433600,818,0.0061
AS8881,2167552,805,0.0371
AS1136,6785536,703,0.0104
AS24961,133376,702,0.5263
AS852,4826624,700,0.0145
AS30456,3840,696,18.1250
AS2856,16537600,694,0.0042
AS207083,12288,683,5.5583
AS4837,58991872,681,0.0012
AS16591,3348736,674,0.0201
AS6805,8350976,671,0.0080
AS23470,67584,668,0.9884
AS9318,25753600,652,0.0025
AS33915,11389952,591,0.0052
AS6327,14497280,552,0.0038
AS6724,166400,551,0.3311
AS4764,576768,548,0.0950
AS17676,52556032,536,0.0010
AS45671,122624,531,0.4330
AS8473,591360,504,0.0852
AS20001,7722496,487,0.0063
AS64199,768,485,63.1510
AS199414,1792,471,26.2835
AS11351,4721152,470,0.0100
AS20055,765184,468,0.0612
AS7545,5548544,460,0.0083
AS40021,116736,456,0.3906
AS20473,1223680,450,0.0368
AS2119,6897680,431,0.0062
AS11427,5402624,430,0.0080
AS2516,18154496,422,0.0023
AS55990,1295104,410,0.0317
AS1221,13410816,408,0.0030
AS50266,2068992,406,0.0196
AS9145,924416,403,0.0436
AS3269,22725888,402,0.0018
AS2527,3851264,397,0.0103
AS812,9517824,395,0.0042
AS3352,10552576,390,0.0037
AS136188,157184,372,0.2367
AS174,55053056,371,0.0007
AS5410,7092224,366,0.0052
AS5617,8444928,358,0.0042
AS3301,6625792,354,0.0053
AS58212,21504,351,1.6323
AS11426,5062912,335,0.0066
AS33363,6536960,320,0.0049
AS5607,8187648,320,0.0039
AS29695,1213952,315,0.0259
AS200482,2816,314,11.1506
AS5769,4986733,314,0.0063
AS8151,22872800,313,0.0014
AS210538,6144,307,4.9967
AS6848,2291200,302,0.0132
AS16509,49687808,294,0.0006
AS141679,71680,293,0.4088
AS8708,1937664,287,0.0148
AS8447,2833152,284,0.0100
AS5430,232960,283,0.1215
AS4713,28694016,281,0.0010
AS6128,7287808,281,0.0039
AS5483,1484800,276,0.0186
AS212238,550144,275,0.0500
AS48314,34816,272,0.7812
AS5378,2793216,266,0.0095
AS11492,1314816,258,0.0196
AS12876,544768,257,0.0472
AS212027,7168,251,3.5017
AS4181,2649856,251,0.0095
AS7418,3033088,251,0.0083
AS42730,35584,243,0.6829
AS19108,7121920,242,0.0034
AS30600,283392,237,0.0836
AS6167,13966592,235,0.0017
AS38195,186624,233,0.1248
AS8412,2895872,232,0.0080
AS6730,4065280,231,0.0057
AS213230,164352,228,0.1387
AS57269,157184,228,0.1451
AS15557,15872512,222,0.0014
AS855,2058240,222,0.0108
AS20845,632832,217,0.0343
AS9123,183049,216,0.1180
AS1257,7352320,214,0.0029
AS16086,1825280,214,0.0117
AS3303,8165888,213,0.0026
AS45062,236800,212,0.0895
AS11232,934400,208,0.0223
AS199524,96512,208,0.2155
AS4812,12627456,208,0.0016
AS5432,6410752,203,0.0032
AS213250,10752,201,1.8694
AS210644,86272,196,0.2272
AS12479,14398976,195,0.0014
AS17511,3059712,193,0.0063
AS15943,354560,192,0.0542
AS7029,12817920,192,0.0015
AS30036,1622784,188,0.0116
AS6181,1378304,184,0.0133
AS29518,850688,176,0.0207
AS719,3829504,176,0.0046
AS17858,20602880,163,0.0008
AS210715,2304,160,6.9444
AS8422,577280,156,0.0270
AS199715,15616,152,0.9734
AS6871,2138880,152,0.0071
AS6830,5190656,151,0.0029
AS4804,9008384,148,0.0016
AS29802,393472,144,0.0366
AS4771,684800,144,0.0210
AS11776,1660928,142,0.0085
AS13285,9940736,142,0.0014
AS15435,283648,142,0.0501
AS13335,2556672,140,0.0055
AS200436,3072,137,4.4596
AS49581,8192,137,1.6724
AS141995,52480,135,0.2572
AS6079,1652224,135,0.0082
AS2514,2617344,134,0.0051
AS47377,1237760,134,0.0108
AS30722,7065344,133,0.0019
AS3243,1844224,133,0.0072
AS400799,1024,133,12.9883
AS9790,635648,133,0.0209
AS148981,33792,131,0.3877
AS3292,5308672,131,0.0025
AS12083,1251840,130,0.0104
AS22927,5095936,130,0.0026
AS7303,18929664,130,0.0007
AS30455,6912,124,1.7940
AS4808,14176000,123,0.0009
AS7992,874752,123,0.0141
AS40676,199424,122,0.0612
AS4760,3885568,122,0.0031
AS5645,846848,122,0.0144
AS4788,10285312,121,0.0012
AS131662,768,120,15.6250
AS24282,89088,118,0.1325
AS1759,3611648,116,0.0032
AS199088,1280,116,9.0625
AS9269,3886336,116,0.0030
AS979,61952,115,0.1856
AS56309,27136,114,0.4201
AS9443,1277184,114,0.0089
AS1267,8875008,113,0.0013
AS58461,364032,113,0.0310
AS45102,7284480,112,0.0015
AS15704,865536,111,0.0128
AS12353,1207040,110,0.0091
AS58087,4096,110,2.6855
AS11404,848640,108,0.0127
AS29182,98816,108,0.1093
AS18126,1385984,107,0.0077
AS216188,2048,107,5.2246
AS6057,5624576,107,0.0019
AS46690,1049088,106,0.0101
AS19318,130304,105,0.0806
AS33588,832512,105,0.0126
AS397423,76032,105,0.1381
AS12430,5199872,104,0.0020
AS27699,6557696,104,0.0016
AS400529,3840,104,2.7083
AS41164,1825792,101,0.0055
AS42473,81664,100,0.1225
AS45758,2647552,100,0.0038
AS63473,21504,100,0.4650
AS12741,1600000,98,0.0061
AS9009,1329408,98,0.0074
AS9500,859392,98,0.0114
AS152699,512,97,18.9453
AS8767,522752,97,0.0186
AS16019,2295808,96,0.0042
AS198610,108800,96,0.0882
AS25019,6282752,95,0.0015
AS1403,462336,94,0.0203
AS216063,1024,94,9.1797
AS7684,364032,94,0.0258
AS13037,530944,93,0.0175
AS3737,700928,93,0.0133
AS46375,816640,92,0.0113
AS203953,33792,91,0.2693
AS2518,3670528,91,0.0025
AS19901,2461440,90,0.0037
AS262287,146688,90,0.0614
AS202520,1536,87,5.6641
AS48678,28160,86,0.3054
AS12271,2930944,85,0.0029
AS13977,562688,85,0.0151
AS197071,26880,85,0.3162
AS803,521984,85,0.0163
AS135918,28672,82,0.2860
AS216129,768,82,10.6771
AS30277,39936,82,0.2053
AS7552,19407616,82,0.0004
AS10143,411648,81,0.0197
AS56041,4783104,77,0.0016
AS18403,6119936,76,0.0012
AS212317,93184,76,0.0816
AS62336,83200,76,0.0913
AS11260,583168,75,0.0129
AS13030,161792,75,0.0464
AS14618,18342656,75,0.0004
AS25369,134144,75,0.0559
AS28573,11131904,75,0.0007
AS15108,269056,74,0.0275
AS15502,1277696,74,0.0058
AS200350,199936,74,0.0370
AS207252,4608,74,1.6059
AS39642,561152,74,0.0132
AS12400,9009152,73,0.0008
AS2116,1810432,73,0.0040
AS8764,1413632,73,0.0052
AS9370,341248,73,0.0214
AS134697,12544,72,0.5740
AS63018,29696,72,0.2425
AS25255,1016832,71,0.0070
AS44869,333824,71,0.0213
AS5391,1290496,71,0.0055
AS60798,8448,71,0.8404
AS137699,16896,70,0.4143
AS133481,473600,68,0.0144
AS6315,93952,68,0.0724
AS3249,603392,67,0.0111
AS398395,13312,67,0.5033
AS6878,44288,67,0.1513
AS12119,191744,66,0.0344
AS204035,12288,66,0.5371
AS38283,385536,66,0.0171
AS6799,3891712,66,0.0017
AS134090,13568,65,0.4791
AS9371,306176,64,0.0209
AS15366,30720,62,0.2018
AS2519,1492736,62,0.0042
AS27364,316160,62,0.0196
AS7459,631552,62,0.0098
AS17552,1656320,61,0.0037
AS214382,768,61,7.9427
AS62000,6144,61,0.9928
AS204104,4352,60,1.3787
AS37611,445696,60,0.0135
AS9506,1426944,60,0.0042
AS9824,10315776,60,0.0006
AS12576,4875008,58,0.0012
AS13036,991232,57,0.0058
AS45899,23720704,57,0.0002
AS201838,235264,56,0.0238
AS32097,97280,56,0.0576
AS55430,1353472,56,0.0041
AS12874,7367936,55,0.0007
AS133480,11008,55,0.4996
AS203446,1792,55,3.0692
AS212508,1536,55,3.5807
AS47436,1792,55,3.0692
AS5384,11559424,55,0.0005
AS8339,245504,55,0.0224
AS12392,791552,54,0.0068
AS132203,2207488,54,0.0024
AS26599,20952832,54,0.0003
AS58507,359168,54,0.0150
AS18881,8538880,53,0.0006
AS6855,667392,53,0.0079
AS21334,1706752,52,0.0030
AS23724,2566912,52,0.0020
AS393905,1536,52,3.3854
AS46475,140544,52,0.0370
AS55850,109312,52,0.0476
AS215439,3072,51,1.6602
AS2860,3328000,51,0.0015
AS4922,424704,51,0.0120
AS58955,12800,51,0.3984
AS14586,4608,50,1.0851
AS26827,116224,50,0.0430
AS13045,176128,48,0.0273
AS9416,2795264,48,0.0017
AS211301,1536,47,3.0599
AS4685,1277952,47,0.0037
AS6739,2849024,47,0.0016
AS8167,9510912,47,0.0005
AS10010,1644288,46,0.0028
AS11814,397312,46,0.0116
AS7122,507392,46,0.0091
AS13110,167424,44,0.0263
AS138156,8192,44,0.5371
AS2497,3864064,44,0.0011
AS47583,422912,44,0.0104
AS57370,62464,44,0.0704
AS12605,254976,43,0.0169
AS206238,17920,43,0.2400
AS215039,768,43,5.5990
AS53667,36864,43,0.1166
AS5603,1803776,43,0.0024
AS7679,696320,43,0.0062
AS9304,4275968,43,0.0010
